Help!	Kapadle
"Who is it?" "It's me."	"Indh yer"? "Yan ya"
A fox is a wild animal.	Thola onji 
A rabbit has long ears.	Muger gu udhdha kebi undu 
Can anyone believe you?	Yerandala ninnan nambvera?
Did you read it at all?	Ee aven pura odhyana?
Do you like this color?	Nik indh banna ista aanda?
Don't ask me for money.	Yenada kaas kenodchi
Don't lose your temper.	Kopa manpodchi
Don't make fun of them.	Aklena bagge kushal manpodchi
Don't make me slap you.	Ninna kepeg hakun leka manpodchi
Don't say such a thing.	Ancha pura panre balli
Don't start doing that.	Av manpare shuru manpodchi
Everyone knew the song.	Matheregla padhya gothithind
Fish live in the water.	Meen neer d badhukund
He can't run very fast.	Ayeg bega balpare apuji
He earns a good salary.	Aye yedde kaas manpve
He has three daughters.	Areg mooji ponnu jokul uller 
He knocked at the door.	Aye bakil kutye
He learned how to swim.	Aye neendhare kalthe
He robbed me of my bag.	Aye yenna cheelan kandye
He told me where to go.	Aye yenk vol povod pandh panye
He tore the book apart.	Aye booku parth padye
He understands physics.	Ayeg physics barpund
He will soon come back.	Aye bega pirav barpe
He will soon come back.	Aar bega pirav barper
He will soon come back.	Aar bega pirav barper
Her father is Japanese.	Ayena ammer japan dhar
I asked him to do that.	Yan ayeg av manpare panye
I don't agree with you.	Yan ninna maath opuji
I don't believe in God.	Yan dhever n nambuji
I don't want your pity.	Yenk ninna karune bodchi
I found the cage empty.	Yenk goodu kaali thikind
I go to school on foot.	Yan kali kaar d shaleg pope
I made the woman angry.	Yan avu ponjeg yan kopa puttaye
I prefer coffee to tea.	Yan cha dha badalugu coffee parpe
I seem to have a fever.	Yenk jwara ithileka thojund
I still don't know yet.	Yenk nanala gothiji 
I wake up at 7 o'clock.	Yan yel ganteg lakve
I want to do it myself.	Yenk yenatheg manpodu
I wasn't fired. I quit.	Yennan beled dhakijer yane budin
I will be back by nine.	Yan orumba gante dha ulai barpe
I wonder what happened.	Gothuji dada aand pandh
I'd like a Bloody Mary.	Yenk onji Bloody Mary bodu
I'll make a phone call.	Yan onji kare manpve
I'm at the airport now.	Yan airport du ulle
I'm longing to see him.	Yan ayen thikkare thovondh ulle
I'm thinking about you.	Yan ninna bagge yenondh ulle
Is anyone absent today?	Ini yera baijera?
Is anyone absent today?	Ini yerandala baidhera?
It is difficult for me.	Avu yenk banga
It's rather cold today.	Ini chali undu
Mind your own business!	Ninna bele ee thoola
My father is very nice.	Yenna ammer baari yedde uller
My father is very nice.	Yenna ammer baari yedde jana
My stomach is growling.	Yenna banji guru-guru manthondh undu
New York is a big city.	New York onji malla pradesha
School begins in April.	Shaale paagu du aaramba apuni
School is over at 3:30.	Shaale 3.30 g mugiyundu
Shall I clean the room?	Yan kone dhekoda?
She always wears black.	Aal yepala kappu padval
She can play the piano.	Aleg piano gobbare barpund
She has a gentle heart.	Alena hrudhaya baari yedde undu
She is a wealthy woman.	Aal masth kaas dhaal
She is poor, but happy.	Aal badavi aandala kushit ullal
She married a rich man.	Aal kaas dhaye notugu madhime aathal
She prattles on and on.	Aal masth patherval 
She showed me her room.	Aal yenk alna kone thojpayal
Should I clean my room?	Yan yenna kone dhekoda?
That is almost correct.	Avu hechkadime sari 
That was cooked in oil.	Avu yenned baipayini
That was cooked in oil.	Yenned aven baipayini
That's a good question.	Avu onji yedde prashne
That's weird, isn't it?	Avu vichitra, Atha?
The baby ceased crying.	Bale bulpuna budind
The baby ceased crying.	Bale bulpuna budind
The gate was left open.	Hebbakil n thered budther
The girl looked around.	Av ponnu thirgidh thooyal
The knife is not sharp.	Avu chaku aath yedde ijji
The light doesn't work.	Indh dheepa pothondh ijji
The sooner, the better.	Yeth bega aath yedde
They will be very glad.	Akleg bari yedde avu
This book is very thin.	Indh booku masth sapura
This lion is very tame.	Indh simma prayojana ijji
This silk feels smooth.	Indh reshme saipai undu
Tom started the engine.	Tom engine shuru manthe
We often make mistakes.	Nama apagapaga thappu manpwa
Were you told to do so?	Nik ancha manpare pandhithera?
What do you like to do?	Nik dhadha manpare ista undu?
What do you like to do?	Nik dhadha manpare ista undu?
What time does it open?	Yeth porth g av shuru-aapini?
What's the temperature?	Havetha sthithi yeth?
Who do you think he is?	Ninna manas du aye yer?
Why are you stuttering?	Ninna bai dhaye thaapund?
Will we arrive in time?	Nama sari samayag yethuva atha?
You had plenty of time.	Namada yeth la samaya undu?
You have a good memory.	Ninna nenap shakthi yedde undu
You've got to stop Tom. Ee unthod aapund Tom
Are there enough chairs?    Bodayinath kurchi unda?
Are you free on Tuesday?	Nik angared pursoth unda? 
Can I see your passport?	Ninna passport yan thoovoli ya?
Can you lend me 500 yen?	Yenk ainoodh koroliya?
Can't you speak English?	Nik english pathere aapuja?
Do you watch television?	Ee dhooradharshana thoopana?
Does milk spoil quickly?	Per bega haal aapunda?
Don't drink any alcohol.	Vow la yenne parodchi?
Don't forget the ticket.	Ticket n mareyodchi
Glass is made from sand.	Kuppi n poyyed manpunu
He abandoned his family.	Aye ayena kutumban budh poye
He betrayed his country.	Aye deshadhroha manthe
He catches colds easily.	Ayeg chali bega pathund
He couldn't get the job.	Ayeg bele thikiji
He decided to go abroad.	Aye vidheshag poyare nirdhara manthe
He did not get up early.	Aye bega lakkije
He got lost in the park.	Ayeg park du saadhi thathind 
He is smelling the soup.	Aye soup n moosondh ulle
He is used to work hard.	Aye banga bathidh bele manthond ithe 
He likes playing soccer.	Ayeg soccer gobbare ista 
He looked up at the sky.	Aye mith akashan thooye
He tends to be arrogant.	Aye yepala ahankara thoopave
He tends to be arrogant.	Aye yepala ahankara thoopave
He tends to be arrogant.	Aye yepala ahankara thoopave
He was accused of theft.	Ayena mith kanduna dhooru padyer
He was more than a king.	Aye raja d la mith
Her story can't be true.	Alna kathe satya ayere sadhya ijji
I do not have much time.	Yenk aath purshoth ijji
I don't have much money.	Yenada aath kaas ijji
I feel like throwing up.	Yenk kakun leka avondh undu 
I fell in love with her.	Yenk alena mith moke aand
I found the glass empty.	Yenk kaali kuppi thikind
I have little money now.	Yenada chur kaas undu
I have no money with me.	Yenada kaas ijji
I have to see a dentist.	Yenk dentist n thoovod
I like my job very much.	Yenk yenna bele panda baari ista
I like studying English.	Yenk english kalpare ista
I really like city life.	Yenk pattanadha jeevana ista
I wish I could help you.	Yenk manas ithind nik sahaya manpare
I'd rather not meet him.	Yan ayeg thikunane bodchi
I'd rather not meet him.	Yan ayeg thikunane bodchi
I'll give you a present.	Yan nik udugore korpa
I've quit drinking beer.	Yan beer parpina budthe
Is this what you wanted?	Indhena nik bodayina?
It is almost 12 o'clock.	Ithe sumar pathrad gante
It's almost six o'clock.	Ithe sumar aaji gante
It's no concern of mine.	Av yenna chinthe dha vishaya ath
My sister has long legs.	Yenna akka ka kaar udha
Shall I get you a chair?	Nik yan kurchi kanoda? 
She bought a dozen eggs.	Aal onji dharjan thethi kanthal
She doesn't speak to me.	Aal yenada patherujal
She is dressed in white.	Aal boldhu batte pad-dhal
She was late once again.	Aal kudonji sarthi 
Show me another example.	Yenk kudonji udhaharane thojpala
Swimming is easy for me.	Yenk eejare masth sulabha
Take whichever you want.	Dhadha bodu avu dheppu
That applies to him too.	Av ayegla prayoga aapund
That man has many debts.	Av aan g masth sala undu
The box is made of wood.	Indh dabbe marat manthina
The bus hasn't come yet.	Bus nanala baidhiji
The house was in flames.	Illa pothondh ithind
They adopted the orphan.	Akul anathen dhath dhethonyer
They stood face to face.	Akul mone-mone thoodh unthdhither
They were afraid of you.	Akleg ninnan thoonda podige aapund
They were afraid of you.	Akleg ninnan thoonda podige aapund
This chair is too small.	Indh kurchi masth yellia
This is why I came back.	Indh karanak yan pirav bathe
This river is beautiful.	Indh sudhe shok undu
Tomorrow is my birthday.	Yelle yan puttina dhina
Turn your face this way.	Ninna monen inchi thirgav
Turn your face this way.	Ninna monen inchi thirgav
Two plus two makes four.	Rad g rad serinda naal aapund
Water is very important.	Neer masth mukhya
We all stood up at once.	Nama pura orane unthya
We bought a round table.	Nama onji uruntu meji kanthe
We have no school today.	Namak ini shale undu
We may not win tomorrow.	Nama onja yelle ghendhuja
We put sugar in our tea.	Nama cha kh sakare padva
What do you want it for?	Nik avu dhayeg bodu?
What is his nationality?	Ayena rastra ovu?
When do you play tennis?	Ee tennis dhaye gobbuva
When it rains, it pours.	Barsa bannaga thorund
Why don't you ever help?	Ee dhaye yepala sahaya manpuja?
Why don't you ever help?	Ee dhaye yepala sahaya manpuja?
Will you turn on the TV?	Ee dhooradharshana shuru manpwana?
You shouldn't wait here.	Ee moolu kapare balli
Are you younger than him?	Ee ayedla yellia na?
Bad news travels quickly.	Bodchandhina sudhi bega pagarundu
Can you keep it a secret?	Nik aven onji rahasya dheevoliya?
Cheese is made from milk.	Cheese n pair d manpver
Choose between these two.	Reddet onji n deppu
Did he tell you anything?	Aye nik dhadhana pandena?
Did you do your homework?	Ee homework manthana?
Did you do your homework?	Ee homework manthana?
Do you have a pen on you?	Ninada onji lekani unda? 
Do you have any brothers?	Nik megge-palaye ullera?
Do you need an ambulance?	Nik ambulance boda?
Don't play with that key!	Chaabi d gobodchi
Don't you want to go out?	Nik pidhai poyare ijja?
Every house had a garden.	Pura illag udhyana undu
He can't be under thirty.	Aye muppa varsha dha ulai upare saadhya ijji
He cut the envelope open.	Aye muppa varsha dha ulai upare saadhya ijji
He did not die of cancer.	Aye cancer dha deset saithin ath
He is very fond of music.	Ayeg sangeetha panda baari ista
He knows a lot of people.	Ayeg masth janaklena gurtha undu
He leveled his gun at me.	Aye bandhook n yenna mith dheeye
He was accused of murder.	Ayen kerthinek dhooru padyer
He was then a boy of ten.	Aye apaga path varsha dha bale
He will not listen to me.	Aye yenna maath kenujer
He's always dissatisfied.	Ayeg yepala nirasene
He's reading a novel now.	Aye onji upanyasa odhondh ulle
Here, please have a seat.	Bale, moolu kulle
How long have you waited?	Yeth porth muta kathondh itha?
How much for half a kilo?	Ardha kilo g yeth?
I am able to drive a car.	Yenk gaadi budre barpund
I beg to differ with you.	Yan bedondh ulle, erna patherna yenk trupthi ayiji
I can't live without you.	Yenk ninnan bud-dhu badhikere apuji
I can't live without you.	Yenk ninnan bud-dhu badhikere apuji
I can't stand it anymore.	Yenk nana thadpare avondh ijji
I can't walk any further.	Yenk nana nadapare avondh ijji
I can't walk any further.	Yenk nana nadapare avondh ijji
I don't like this jacket.	Yenk indh jacket ista ijji
I felt like running away.	Yenk alpadh balpuna leka aand.
I go to school by subway.	Yan shaleg g adi dhari d pope
I got lost in the forest.	Yan kaad d saadhi thathind
I had two cups of coffee.	Yan radd lote kaapi parye
I have a heart condition.	Yenk thigale dha seekh undu
I have to go to the bank.	Yenk bank pore undu
I heard someone knocking.	Yenk yera bakil botti leka aand.
I like English and music.	Yenk english boka sangeetha panda ista 
I like playing the piano.	Yenk piano d gobare ista
I need coughing medicine.	Yenk themadha mardh bodu
I ran into an old friend.	Yenk dhumbu dha dosti thikye 
I think that he is right.	Yenna lekkad aye sari
I was on a trip to India.	Yan bharathag thirgare poye
I was waiting for a taxi.	Yan taxi g kathondh ithe
I was waiting for a taxi.	Yan taxi g kathondh ithe
I will explain it to her.	Yan aleg vishaya viveripurve
I will explain it to him.	Yan ayeg vishaya viveripurve
I will have to help them.	Yan akleg sahaya manpode aapundu
I will never do it again.	Yan kuda ora ancha manpuji
I wish you spoke Spanish.	Yenk ee spanish patherod andh aase
I'd like to get a refund.	Yenk kaas pirav thikod andh aase
I'll call you back later.	Yan nik boka phone manpve
I'll call you back later.	Yan nik boka lepve
I'm going to take a bath.	Yan meeyare povondh ulle
I've read the first page.	I Yan shurutha puta odhye
Iron is harder than gold.	Karba chinnadh baara undu
Is your father a teacher?	Ninna ammer upabodhakera?
Is your father a teacher?	Ninna ammer upabodhakera?
Is your father a teacher?	Ninna ammer upabodhakera?
Is your father a teacher?	Ninna ammer upabodhakera?
Is your father a teacher?	Ninna ammer upabodhakera?
Is your father a teacher?	Ninna ammer upabodhakera?
Is your father a teacher?	Ninna ammer upabodhakera?
Is your father a teacher?	Ninna ammer upabodhakera?
Is your father a teacher?	Ninna ammer upabodhakera?
It is almost ten o'clock.	Ithe sumar path gante
It seems that he is rich.	Aye kaas dhaye thojod
It's not healthy for you.	Av ninna arogya g yedde ath
Let me introduce my wife.	Yenna bodedhin gurtha manpave
Let me know your address.	yenk erna vilasa panle
My father died of cancer.	Yenna ammer arbudha rogadha deset theeryer 
Please wait five minutes.	Dhayamanthudh ain nimsha kaple
She is an obstinate girl.	Aal onji hatamaari ponnu
She left the baby crying.	Aal bulpuna balen bud-dhu poyal
She refused to notice me.	Aal yenna gochara manthijal
Ten years is a long time.	Path varsha masth dhinja samaya
The doctor felt my pulse.	Doctor yenna naadi thooyer
The food is getting cold.	Theeni chowli avondh undu
The food's not ready yet.	Theeni nanala thayar athiji
The man committed murder.	Ee vyakthi kole manthe
The party was successful.	Party safala aand
These are very old books.	Indh masth parath bookulu
They gathered in the gym.	Akul gym d seryer
This amount includes tax.	Indh lekkad therige serind
This house has six rooms.	Indh illad aaji kone undu
This is as large as that.	Indh aitha athe malla undu
This road is very narrow.	Indh rasthe masth sapura
Tokyo is a very big city.	Tokyo onji baari malla ooru
Tom is able to swim well.	Tom g neendhare barpund
We had no water to drink.	Namak parre neer ithiji
We import tea from India.	Nama cha n bharathad tharpavunu
We would die without air.	Nama gaali ijida saipa
What are you looking for?	Dhadha thoovondh ulla
What happened last night?	Kode rathre dadand?
What he lacks is courage.	Ayeg dhairyadha korathe undu
What school do you go to?	Ee vow shaleg povondh ulla?
What time do you go home?	Ee yeth porth g illag popa?
What time do you go home?	Eer yeth porth g illag poper?
When are you coming back?	Ee yepa pirav barpa?
When did you get married?	Nik madhime yepa ayini?
Will you please go there?	Dhayamanthudh ee adeg popana?
Yes, I like it very much.	Andh,Yenk indh masth ista
You have to wait in line.	Nik line d unthod aapund
You made me lose my mind.	Ee yenna thare haal mantha
A is 5 times as long as B.	A B ird ain paal udha.
Apples were on sale today.	eppul ini marondh ither.
As for me, I am satisfied.	sadhyag enk tripthi aand.
Can you come to the party?	Nik partyg baroliya?
Canada is a large country.	canada onji malla dhesha.
Come to my house at eight.	yenna illa gu yedma ganteg bala. 
Did the police arrest Tom?	police tom n pathyera?
Do you believe in fairies? 	ee yakshe n nambuvana?
Do you believe in fairies?	ee yakshe n nambuvana?
Do you have a larger size?	Ninada malla alathe unda?
Do you want to come along?	Nik ottige barre manas unda?
Don't leave the door open.	Bakil n jath dhivodchi 
Have you been here before?	Ee dhumbu moolu Ethana?
He began to learn English.	Aye English kalpare shuru manthe.
He came back from America.	Aye america rd wapas bathe.
He couldn't run very fast.	Ayeg bega balipere ayiji.
He doesn't understand you.	Aye Ninan artha manpuje.
He hammered at the window.	Aye Kandi n pudathe.
He has many history books.	Ayeda masth ithihasa dha booku undu.
He hesitated for a moment.	Aye orak piravjarondh ithe.
He is one of my neighbors.	Aye nerekaredh oriye.
He likes his school a lot.	Ayeg ayena shale panda bari ista. 
He makes fun of everybody.	Aye materegla makkar manpuve.
He often plays the guitar.	Aye yepala guitar d gobbuve.
He taught me how to write.	Aye yenk barepuna kalpaye.
He walked along the river.	Aye nadhi tha baritu nadathe.
He wanted to buy the book.	Ayeg booku dethondre ithind.
He was afraid to go there.	Ayeg adeg poyare podige avondh ithind.
He was burning with fever.	ye jwara tu kodiyondhe ithe.
He was looking at the sky.	Aye akashan thuvond ithe.
He was sentenced to death.	Ayeg marana shikshe koryer.
He witnessed the accident.	Aye apagatha n kannare thoothe 
He witnessed the accident.	Aye apagatha n kannare thoothe
He's sleeping like a baby.	yenna onji cheela dhakudh pondAye yeliya bale lekka jepuve.
His story may not be true.	Ayena kathe sullu aare la aavu.
How can I meet this quota?	Yenk indh quota yencha thikund?
How many bowls do we have?	Yenkleda yeth chopu undu?
